model_id,model_name,family,representative_role,selected_for_visualization,grouping_match,layer_k,stratigraphic_coordinate,layer_mean_z,facies,area_proportion,facies_area,active_area,active_cells
Sim634,Sim634,F04,,False,True,3,0.15,-99.92110519844964,232,0.0,0.0,65127494.65478016,646
Sim634,Sim634,F04,,False,True,3,0.15,-99.92110519844964,241,0.1266779116643437,8250215.0147982575,65127494.65478016,646
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,11,0.0,0.0,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,12,0.0,0.0,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,13,0.0919773733106017,13278041.914969863,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,14,0.0081403290953892,1175154.5737800307,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,15,0.0,0.0,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,16,0.0,0.0,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,21,0.5432188433239024,78420184.34576052,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,22,0.0252205512495,3640890.412021664,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,23,0.0038874950977454,561206.751119025,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,24,0.0006682483318272,96469.69727704224,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,25,0.0,0.0,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,26,0.0,0.0,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,111,0.0126962842116634,1832861.5817017013,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,121,0.0,0.0,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,131,0.0007837589694835,113145.04941224064,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,161,0.0,0.0,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,231,0.235871235011468,34050854.38178067,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,232,0.0,0.0,144362047.28450724,648
Sim634,Sim634,F04,,False,True,4,0.2,-48.38563545329855,241,0.077535881398419,11193238.576684508,144362047.28450724,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,11,0.0,0.0,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,12,0.0,0.0,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,13,0.2120554660672184,12468903.11691594,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,14,0.0102101298705746,600357.6447634237,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,15,0.0,0.0,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,16,0.0,0.0,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,21,0.0,0.0,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,22,0.0,0.0,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,23,0.0061487790903661,361549.4200031192,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,24,0.020242480619519,1190261.8422051128,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,25,0.0,0.0,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,26,0.0,0.0,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,111,0.0,0.0,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,121,0.0,0.0,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,131,0.0,0.0,58800196.70402405,648
Sim634,Sim634,F04,,False,True,5,0.25,-89.25253740919258,161,0.0,0.0,58800196.70402405,648
